file path,line #,comment,satd
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,1,!/usr/bin/env python,
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,2,-*- coding: utf-8 -*-,
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,18,Define templates,
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,21,Grab the index MD source from the GitHub repository,
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,33,Extract the name of the CS,
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,35,Extract technologies and map the CS to them,
CheatSheetSeries/scripts/Generate_Technologies_JSON.py,43,Display the built structure and formatted JSON,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,1,!/usr/bin/env python,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,2,-*- coding: utf-8 -*-,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,22,Define constants,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,23,"API to retrieve the list of Issues/PR (GitHub REST API v3 considers every pull request an issue, but not every issue is a pull request)",
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,24,Ask to the API to sort the list by the updated date in order to have the oldest on the top on the list,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,25,See https://developer.github.com/v3/issues/#list-issues-for-a-repository for explanation,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,27,Expiration delay,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,30,Define utility function: Cf criteria in the comment of the script for the criterias,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,52,Grab the list of open Issues/PR,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,60,Process the obtained list,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,65,Date format is 2019-08-24T15:29:55Z,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,75,Render the result,
CheatSheetSeries/scripts/Identify_Old_Issue_And_PR.py,86,Send notification the project management channel on Slack if the url of the webhook is passed as unique first parameter,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,1,!/usr/bin/env python,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,2,-*- coding: utf-8 -*-,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,13,Define utility functions,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,26,Define templates,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,33,Scan all CS files,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,46,Generate the index file,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,52,Generate the top menu,
CheatSheetSeries/scripts/Update_CheatSheets_Index.py,57,Generate letter sections,
CheatSheetSeries/scripts/Generate_CheatSheets_TOC.py,1,!/usr/bin/env python,
CheatSheetSeries/scripts/Generate_CheatSheets_TOC.py,2,-*- coding: utf-8 -*-,
CheatSheetSeries/scripts/Generate_CheatSheets_TOC.py,12,Define templates,
CheatSheetSeries/scripts/Generate_CheatSheets_TOC.py,15,Scan all CS files,
CheatSheetSeries/scripts/Generate_CheatSheets_TOC.py,19,Generate the summary file,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,1,!/usr/bin/env python,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,2,-*- coding: utf-8 -*-,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,16,Define constants,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,17,API to retrieve the list of PR,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,18,See https://developer.github.com/v3/pulls/#list-pull-requests for explanation,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,21,Grab the list of open PR,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,29,Process the obtained list and generate the feed in memory,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,32,"Sun, 19 May 2002 15:21:36 GMT",
CheatSheetSeries/scripts/Generate_RSS_Feed.py,44,Take only merged PR,
CheatSheetSeries/scripts/Generate_RSS_Feed.py,47,"Convert merge date from 2019-08-25T06:36:35Z To Sun, 19 May 2002 15:21:36 GMT",
CheatSheetSeries/scripts/Generate_RSS_Feed.py,62,Save the feed to a XML file,
